DateID;CustomerID;TotalTimeWatched;Platform;PlayEventType;VideoTitle
20201103;IG5651OEAWQLHL0FIZI29EID002M;480;Leanback;LiveTV;grand designs
20201103;IG5651OEAWQLHL0FIZI29EID002M;480;Leanback;LiveTV;grand designs
20201103;IG5651OEAWQLHL0FIZI29EID002M;120;Leanback;LiveTV;American Restoration
20201103;IG5651OEAWQLHL0FIZI29EID002M;120;Leanback;LiveTV;American Restoration
20201103;IG5651OEAWQLHL0FIZI29EID002M;120;Leanback;LiveTV;American Restoration
20201103;IG5651OEAWQLHL0FIZI29EID002M;480;Leanback;LiveTV;grand designs
20201103;IG5651OEAWQLHL0FIZI29EID002M;480;Leanback;LiveTV;grand designs
20201103;IG5651OEAWQLHL0FIZI29EID002M;120;Leanback;LiveTV;American Restoration
20201103;IG5651OEAWQLHL0FIZI29EID002M;480;Leanback;LiveTV;grand designs
20201103;IG5651OEAWQLHL0FIZI29EID002M;480;Leanback;LiveTV;grand designs
20201103;IG5651OEAWQLHL0FIZI29EID002M;120;Leanback;LiveTV;American Restoration
20201104;IG5651OEAWQLHL0FIZI29EID002M;240;Leanback;LiveTV;BBC News Special: US Election 2020
20201104;IG5651OEAWQLHL0FIZI29EID002M;60;Leanback;LiveTV;Election Day in America Continued
20201104;IG5651OEAWQLHL0FIZI29EID002M;240;Leanback;LiveTV;BBC News Special: US Election 2020
20201104;IG5651OEAWQLHL0FIZI29EID002M;60;Leanback;LiveTV;Election Day in America Continued
20201104;IG5651OEAWQLHL0FIZI29EID002M;240;Leanback;LiveTV;BBC News Special: US Election 2020
20201104;IG5651OEAWQLHL0FIZI29EID002M;60;Leanback;LiveTV;Election Day in America Continued
20201104;IG5651OEAWQLHL0FIZI29EID002M;240;Leanback;LiveTV;BBC News Special: US Election 2020
20201104;IG5651OEAWQLHL0FIZI29EID002M;60;Leanback;LiveTV;Election Day in America Continued
20201104;EW1DENH0EC1J3M9WAOZF9LSV004O;60;Leanback;LiveTV;DStv Prem 20/21: Celtic v Pirates
20201104;EW1DENH0EC1J3M9WAOZF9LSV004O;60;Leanback;LiveTV;Election Day in America Continued
20201104;EW1DENH0EC1J3M9WAOZF9LSV004O;3480;Leanback;LiveTV;UCL 20/21: Basaksehir v Man Utd
20201104;EW1DENH0EC1J3M9WAOZF9LSV004O;1140;Leanback;LiveTV;Election Night in America 2020
20201104;EW1DENH0EC1J3M9WAOZF9LSV004O;60;Leanback;LiveTV;DStv Prem 20/21: Celtic v Pirates
20201104;EW1DENH0EC1J3M9WAOZF9LSV004O;60;Leanback;LiveTV;Election Day in America Continued
20201104;EW1DENH0EC1J3M9WAOZF9LSV004O;1140;Leanback;LiveTV;Election Night in America 2020
20201104;EW1DENH0EC1J3M9WAOZF9LSV004O;3480;Leanback;LiveTV;UCL 20/21: Basaksehir v Man Utd
20201104;6PMV67PLJ2S47S68J0Y30XFK003C;480;Leanback;LiveTV;Family Affairs
20201104;EW1DENH0EC1J3M9WAOZF9LSV004O;3480;Leanback;LiveTV;UCL 20/21: Basaksehir v Man Utd
20201104;EW1DENH0EC1J3M9WAOZF9LSV004O;60;Leanback;LiveTV;DStv Prem 20/21: Celtic v Pirates
20201104;EW1DENH0EC1J3M9WAOZF9LSV004O;60;Leanback;LiveTV;Election Day in America Continued
